Gene,RelationName,To
RB1,controls-expression-of,PAMR1
RB1,controls-expression-of,PAN2
RB1,controls-expression-of,PAPOLG
RB1,controls-expression-of,PAQR4
RB1,controls-state-change-of,PARP1
RB1,controls-expression-of,PAX6
RB1,controls-expression-of,PCIF1
RB1,controls-expression-of,PCLAF
RB1,controls-expression-of,PCNA
RB1,controls-expression-of,PCSK1
RB1,controls-expression-of,PCYT2
RB1,controls-expression-of,PEG3
RB1,controls-expression-of,PHC1
RB1,controls-expression-of,PHF13
RB1,controls-expression-of,PHF5A
RB1,controls-expression-of,PIM1
RB1,controls-expression-of,PKMYT1
RB1,controls-expression-of,PLAGL1
RB1,controls-state-change-of,PLK1
RB1,controls-expression-of,PNMA3
RB1,controls-expression-of,PODN
RB1,controls-expression-of,POLA1
RB1,controls-expression-of,POLA2
RB1,controls-expression-of,POLD1
RB1,controls-expression-of,POLD3
RB1,controls-expression-of,POLE2
RB1,controls-expression-of,POLE4
RB1,controls-expression-of,POLR2A
RB1,controls-expression-of,POU4F1
RB1,controls-expression-of,PPIG
RB1,controls-expression-of,PPM1D
RB1,controls-expression-of,PPP1CC
RB1,controls-expression-of,PPP1R8
RB1,controls-expression-of,PRKDC
RB1,controls-expression-of,PRPF4B
RB1,controls-expression-of,PRPS1
RB1,controls-expression-of,PRRC2C
RB1,controls-expression-of,PTGS2
RB1,controls-expression-of,PTMA
RB1,controls-expression-of,RAB11B
RB1,controls-expression-of,RAD51
RB1,controls-expression-of,RANBP1
RB1,controls-expression-of,RASAL2
RB1,controls-expression-of,RAVER1
RB1,interacts-with,RBAK
RB1,in-complex-with,RBBP4
RB1,interacts-with,RBBP4
RB1,interacts-with,RBBP5
RB1,interacts-with,RBBP6
RB1,controls-expression-of,RBBP7
RB1,interacts-with,RBBP7
RB1,interacts-with,RBBP8
RB1,interacts-with,RBBP9
RB1,controls-expression-of,RBL1
RB1,controls-state-change-of,RBL1
RB1,interacts-with,RBL1
RB1,controls-expression-of,RBL2
RB1,in-complex-with,RBL2
RB1,interacts-with,RBM26
RB1,controls-expression-of,RBPJ
RB1,interacts-with,RCOR1
RB1,controls-expression-of,RET
RB1,controls-expression-of,RFC1
RB1,interacts-with,RFC1
RB1,interacts-with,RFC5
RB1,interacts-with,RFPL2
RB1,controls-expression-of,RHCE
RB1,controls-expression-of,RHD
RB1,interacts-with,RHOBTB1
RB1,interacts-with,RHOG
RB1,controls-expression-of,RIBC1
RB1,interacts-with,RING1
RB1,interacts-with,RINT1
RB1,interacts-with,RIOK3
RB1,controls-expression-of,RMI2
RB1,interacts-with,RNF123
RB1,interacts-with,RNF40
RB1,interacts-with,RNF4
RB1,interacts-with,RPA2
RB1,interacts-with,RPRD1B
RB1,controls-expression-of,RPS20
