Gene,RelationName,To
TP53,controls-state-change-of,BCL2
TP53,controls-expression-of,BCL6
TP53,controls-expression-of,BCOR
TP53,controls-expression-of,BDKRB2
TP53,controls-expression-of,BECN1
TP53,controls-expression-of,BICC1
TP53,controls-expression-of,BID
TP53,controls-state-change-of,BID
TP53,controls-expression-of,BIRC5
TP53,controls-expression-of,BIRC8
TP53,controls-expression-of,BLVRB
TP53,controls-expression-of,BMF
TP53,controls-expression-of,BMPR2
TP53,controls-expression-of,BNIP3L
TP53,controls-expression-of,BNIP3
TP53,controls-expression-of,BOP1
TP53,controls-expression-of,BRAF
TP53,controls-expression-of,BRCA1
TP53,controls-expression-of,BSCL2
TP53,controls-expression-of,BSN
TP53,controls-expression-of,BTG2
TP53,controls-expression-of,BTK
TP53,controls-expression-of,BUB1B
TP53,controls-expression-of,C16orf72
TP53,controls-expression-of,C18orf25
TP53,controls-expression-of,C1QC
TP53,controls-expression-of,C3orf62
TP53,controls-expression-of,C3orf80
TP53,controls-expression-of,C5orf51
TP53,controls-expression-of,C6orf62
TP53,controls-expression-of,CA14
TP53,controls-expression-of,CA9
TP53,controls-state-change-of,CABIN1
TP53,controls-expression-of,CACNA1A
TP53,controls-expression-of,CACNA1E
TP53,controls-expression-of,CACNB2
TP53,controls-expression-of,CACNG2
TP53,controls-expression-of,CAD
TP53,controls-expression-of,CALD1
TP53,controls-expression-of,CANX
TP53,controls-expression-of,CAPN5
TP53,controls-expression-of,CARD10
TP53,controls-expression-of,CASP10
TP53,controls-expression-of,CASP1
TP53,controls-state-change-of,CASP1
TP53,controls-state-change-of,CASP2
TP53,controls-expression-of,CASP3
TP53,controls-state-change-of,CASP3
TP53,controls-state-change-of,CASP4
TP53,controls-expression-of,CASP6
TP53,controls-state-change-of,CASP7
TP53,controls-expression-of,CASP8
TP53,controls-state-change-of,CASP8
TP53,controls-state-change-of,CASP9
TP53,controls-expression-of,CAV1
TP53,controls-expression-of,CBSL
TP53,controls-expression-of,CBS
TP53,controls-expression-of,CCDC18
TP53,controls-state-change-of,CCL2
TP53,controls-state-change-of,CCL5
TP53,controls-expression-of,CCNA2
TP53,controls-expression-of,CCNB1
TP53,controls-expression-of,CCNB2
TP53,controls-expression-of,CCND1
TP53,controls-expression-of,CCND2
TP53,controls-expression-of,CCNF
TP53,controls-expression-of,CCNG1
TP53,controls-expression-of,CCNK
TP53,controls-expression-of,CCP110
TP53,controls-expression-of,CD3EAP
TP53,controls-expression-of,CD52
TP53,controls-expression-of,CD68
TP53,controls-expression-of,CD81
TP53,controls-expression-of,CD82
TP53,controls-expression-of,CD8A
TP53,controls-expression-of,CDC20
TP53,controls-expression-of,CDC25C
TP53,controls-state-change-of,CDC25C
TP53,controls-expression-of,CDC73
TP53,controls-expression-of,CDH24
TP53,controls-expression-of,CDK1
TP53,controls-state-change-of,CDK1
